day,fpc_index,donor_index,fpc_mwh
2024-09-02,1.0278,1.0685,186138
2024-09-03,1.0465,1.0894,189518
2024-09-04,1.0323,1.1005,186949
2024-09-05,1.017,1.1335,184183
2024-09-06,1.0281,1.1296,186185
2024-09-07,1.0255,1.053,185714
2024-09-08,1.0198,1.0146,184685
2024-09-09,0.9977,1.0687,180678
2024-09-10,1.0168,1.055,184143
2024-09-11,1.0332,1.0286,187113
2024-09-12,1.0289,1.0165,186338
2024-09-13,0.9846,1.0124,178311
2024-09-14,0.9656,0.9967,174866
2024-09-15,0.9867,0.9806,178697
2024-09-16,0.9967,0.9983,180498
2024-09-17,1.0191,0.9902,184555
2024-09-18,1.0659,1.0048,193023
2024-09-19,1.0547,1.0282,191007
2024-09-20,1.0237,1.0237,185385
2024-09-21,0.998,0.969,180734
2024-09-22,0.9887,0.9638,179046
2024-09-23,1.0532,1.024,190740
2024-09-24,1.0651,1.0388,192887
2024-09-25,1.0057,1.023,182132
2024-09-26,0.9424,1.0016,170667
2024-09-27,0.8872,0.9662,160677
2024-09-28,0.8979,0.9386,162598
2024-09-29,0.9862,0.9456,178606
2024-09-30,1.0619,0.9981,192315
2024-10-01,1.0333,1.0053,187134
2024-10-02,1.0298,0.9945,186496
2024-10-03,1.0207,1.0073,184842
2024-10-04,1.0236,1.0118,185369
2024-10-05,0.9924,0.9656,179721
2024-10-06,0.8401,0.9431,152131
2024-10-07,0.8113,0.9775,146916
2024-10-08,0.8384,0.9581,151837
2024-10-09,0.7167,0.9355,129784
2024-10-10,0.4541,0.9199,82229
2024-10-11,0.5946,0.9218,107672
2024-10-12,0.6997,0.8741,126716
2024-10-13,0.7774,0.8813,140793
2024-10-14,0.8072,0.9282,146186
2024-10-15,0.8432,0.9214,152707
2024-10-16,0.6839,0.9031,123846
2024-10-17,0.6278,0.9095,113684
2024-10-18,0.6737,0.9018,122000
2024-10-19,0.7105,0.8435,128667
2024-10-20,0.75,0.8335,135827
2024-10-21,0.7955,0.8938,144058
2024-10-22,0.8357,0.918,151339
2024-10-23,0.8346,0.9355,151143
2024-10-24,0.7949,0.9277,143951
2024-10-25,0.7988,0.9215,144658
2024-10-26,0.7795,0.8709,141170
2024-10-27,0.7559,0.8568,136899
2024-10-28,0.7805,0.9181,141338
